tipo,idade_meses,genero,porte,pelagem,vacinado,vermifugado,esterilizado,saude,taxa,qtd_fotos,qtd_videos,pet_index,nome,moradia,tempo_disponivel_horas,tem_alergia,tem_crianca,outros_pets,prefere_tipo,prefere_porte,adotante_index
cachorro,36,femea,medio,media,1,0,1,saudavel,0,1.0,0,0,Sr. Renan Leão,casa,6,0,0,1,indiferente,grande,0
cachorro,36,femea,medio,media,1,0,1,saudavel,0,1.0,0,0,Vinícius Andrade,casa,8,1,0,0,indiferente,medio,1
cachorro,36,femea,medio,media,1,0,1,saudavel,0,1.0,0,0,Fernando Fogaça,apartamento,1,0,0,0,gato,grande,2
cachorro,36,femea,medio,media,1,0,1,saudavel,0,1.0,0,0,Pietro Cassiano,casa,2,1,0,1,indiferente,pequeno,3
cachorro,36,femea,medio,media,1,0,1,saudavel,0,1.0,0,0,Dra. Manuela Machado,casa,8,0,1,0,gato,grande,4
cachorro,36,femea,medio,media,1,0,1,saudavel,0,1.0,0,0,Sr. Juan Rodrigues,apartamento,2,1,0,0,cachorro,pequeno,5
cachorro,36,femea,medio,media,1,0,1,saudavel,0,1.0,0,0,Leandro Peixoto,casa,5,0,0,1,gato,pequeno,6
cachorro,36,femea,medio,media,1,0,1,saudavel,0,1.0,0,0,Sr. João Miguel Lima,apartamento,2,0,0,1,cachorro,medio,7
cachorro,36,femea,medio,media,1,0,1,saudavel,0,1.0,0,0,Maria Clara Alves,apartamento,7,0,0,0,cachorro,medio,8
cachorro,36,femea,medio,media,1,0,1,saudavel,0,1.0,0,0,Julia da Costa,casa,7,1,1,1,indiferente,pequeno,9
cachorro,36,femea,medio,media,1,0,1,saudavel,0,1.0,0,0,Esther da Rocha,casa,3,0,0,1,cachorro,grande,10
cachorro,36,femea,medio,media,1,0,1,saudavel,0,1.0,0,0,Ana Vitória da Cunha,casa,4,0,0,0,gato,pequeno,11
cachorro,36,femea,medio,media,1,0,1,saudavel,0,1.0,0,0,Anthony Gabriel Moura,casa,6,0,1,0,indiferente,grande,12
cachorro,36,femea,medio,media,1,0,1,saudavel,0,1.0,0,0,Dra. Jade Mendonça,apartamento,1,0,1,0,cachorro,pequeno,13
cachorro,36,femea,medio,media,1,0,1,saudavel,0,1.0,0,0,Luiz Otávio Monteiro,casa,4,1,1,1,cachorro,grande,14
cachorro,36,femea,medio,media,1,0,1,saudavel,0,1.0,0,0,Dra. Bruna Pires,apartamento,4,1,0,1,indiferente,pequeno,15
cachorro,36,femea,medio,media,1,0,1,saudavel,0,1.0,0,0,Rael Brito,casa,7,1,1,0,indiferente,medio,16
cachorro,36,femea,medio,media,1,0,1,saudavel,0,1.0,0,0,Leonardo Martins,casa,8,1,1,0,gato,pequeno,17
cachorro,36,femea,medio,media,1,0,1,saudavel,0,1.0,0,0,Fernanda Leão,casa,4,1,1,0,indiferente,grande,18
cachorro,36,femea,medio,media,1,0,1,saudavel,0,1.0,0,0,Rafael Azevedo,casa,2,1,1,0,indiferente,grande,19
gato,3,macho,medio,curta,0,1,0,saudavel,0,1.0,0,1,Sr. Renan Leão,casa,6,0,0,1,indiferente,grande,0
gato,3,macho,medio,curta,0,1,0,saudavel,0,1.0,0,1,Vinícius Andrade,casa,8,1,0,0,indiferente,medio,1
gato,3,macho,medio,curta,0,1,0,saudavel,0,1.0,0,1,Fernando Fogaça,apartamento,1,0,0,0,gato,grande,2
gato,3,macho,medio,curta,0,1,0,saudavel,0,1.0,0,1,Pietro Cassiano,casa,2,1,0,1,indiferente,pequeno,3
gato,3,macho,medio,curta,0,1,0,saudavel,0,1.0,0,1,Dra. Manuela Machado,casa,8,0,1,0,gato,grande,4
gato,3,macho,medio,curta,0,1,0,saudavel,0,1.0,0,1,Sr. Juan Rodrigues,apartamento,2,1,0,0,cachorro,pequeno,5
gato,3,macho,medio,curta,0,1,0,saudavel,0,1.0,0,1,Leandro Peixoto,casa,5,0,0,1,gato,pequeno,6
gato,3,macho,medio,curta,0,1,0,saudavel,0,1.0,0,1,Sr. João Miguel Lima,apartamento,2,0,0,1,cachorro,medio,7
